,phrases,total,count_ https://lasergolfrangefinder.com/,count_ https://www.amazon.com/Golf-Range-Finders/b?ie=UTF8&node=3411111
904,"('adaptive', 'slope', 'technology')",4,1,1
244,"('best', 'golf', 'golf')",4,1,1
1784,"('what', 'golf', 'rangefinder')",4,0,1
405,"('accurate', 'measurements')",4,3,0
1153,"('inclement', 'weather')",4,1,1
256,"('golf', 'best', 'golf')",4,2,1
1042,"('range', 'yards', 'flagx')",4,1,1
369,"('golf', 'equipment')",4,2,0
596,"('golf', 'rangefinder', 'ideal')",4,0,1
457,"('free', 'battery')",4,1,1
969,"('this', 'device')",4,1,0
496,"('rangefinder', 'best', 'golf')",4,1,1
1189,"('locate', 'flag')",3,1,1
898,"('magnification', 'slope', 'technology')",3,1,1
370,"('golf', 'laser', 'rangefinder')",3,1,1
1556,"('pinseeker', 'jolt', 'technology')",3,0,1
491,"('picsfeatures', 'specifications')",3,0,1
338,"('tour', 'jolt', 'golf')",3,0,2
915,"('include', 'first')",3,1,0
1064,"('yards', 'pinseeker', 'jolt')",3,0,1
129,"('precision', 'golf')",3,1,0
1597,"('compensation', 'feature')",3,2,1
1164,"('reviews', 'range', 'yards')",3,1,0
274,"('best', 'rangefinder', 'rating')",3,1,1
498,"('rangefinder', 'best', 'rangefinder')",3,2,0
1235,"('jolt', 'tech')",3,0,1
1702,"('should', 'shouldn', 'golf')",3,1,1
270,"('best', 'golf', 'rating')",3,1,0
1146,"('price', 'reviews', 'range')",3,2,0
265,"('rangefinder', 'help')",3,1,1
625,"('accuracy', 'yard')",3,1,1
1351,"('rangefinder', 'comes')",3,1,1
995,"('also', 'makes')",3,0,4
237,"('dual', 'display')",3,1,0
236,"('choose', 'best', 'golf')",3,0,1
233,"('jolt', 'technology')",3,0,1
376,"('golf', 'rangefinder', 'tour')",3,2,1
1832,"('help', 'golf', 'rangefinder')",3,0,1
49,"('rangefinder', 'slope')",3,1,1
1022,"('picsbushnell', 'range', 'yards')",3,0,5
1783,"('small', 'compact')",3,3,1
423,"('target', 'acquisition')",3,1,0
426,"('bushnell', 'golf', 'rangefinder')",3,1,0
425,"('acquisition', 'technology')",3,0,1
459,"('battery', 'replacement')",3,1,0
1519,"('rangefinder', 'bushnell')",2,1,1
261,"('what', 'golf')",2,1,0
560,"('this', 'list', 'golf')",2,0,9
1488,"('yards', 'flagx', 'slope')",2,1,0
1404,"('target', 'priority', 'technology')",2,1,0
1413,"('significant', 'advantage')",2,1,0
543,"('rangefinder', 'designed')",2,1,0
1490,"('yards', 'magnification', 'slope')",2,0,1
269,"('which', 'golf')",2,0,1
1493,"('grip', 'make')",2,0,1
273,"('choose', 'golf')",2,1,0
568,"('this', 'golf', 'rangefinder')",2,1,1
1495,"('easy', 'operate')",2,2,1
1625,"('sturdy', 'waterproof')",2,0,1
531,"('lock', 'onto')",2,1,0
280,"('golf', 'rangefinder', 'bushnell')",2,1,1
1309,"('distances', 'device')",2,1,1
510,"('best', 'rangefinder', 'money')",2,1,0
999,"('easy', 'carry')",2,1,0
815,"('best', 'thing')",2,0,2
437,"('also', 'magnification')",2,0,1
497,"('makes', 'best')",2,0,3
1611,"('also', 'slope')",2,1,0
258,"('golf', 'best', 'rangefinder')",2,1,0
255,"('some', 'famous')",2,1,0
1499,"('armored', 'housing')",2,0,1
1391,"('price', 'quite')",2,0,1
1665,"('slope', 'compensating')",2,1,0
1116,"('technologyusga', 'approvededitor', 'price')",2,1,0
1118,"('technologyusga', 'approvededitor', 'reviews')",2,0,1
591,"('might', 'seem')",2,1,0
1120,"('technologyusga', 'rating', 'price')",2,1,1
1122,"('technologyusga', 'rating', 'reviews')",2,1,0
1124,"('technologyusga', 'price', 'reviews')",2,0,1
1650,"('reviews', 'golf', 'rangefinder')",2,1,0
225,"('magnification', 'slope')",2,1,0
576,"('list', 'golf', 'rangefinder')",2,1,0
841,"('times', 'magnification')",2,1,1
229,"('switch', 'technology')",2,5,1
230,"('clubsgolf', 'choose', 'golf')",2,0,1
232,"('clubsgolf', 'best', 'golf')",2,10,1
1478,"('xmax', 'range', 'yards')",2,0,1
1484,"('xmax', 'yards', 'flagx')",2,0,1
240,"('choose', 'golf', 'golf')",2,1,0
242,"('choose', 'golf', 'best')",2,0,1
1271,"('yards', 'flag')",2,0,1
1353,"('comes', 'impressive')",2,2,0
246,"('best', 'golf', 'best')",2,1,0
249,"('should', 'shouldn')",2,1,0
250,"('golf', 'golf', 'best')",2,4,1
251,"('shouldn', 'golf')",2,0,1
1487,"('magnification', 'also')",2,0,1
294,"('rangefinder', 'rating', 'bushnell')",2,1,0
594,"('golf', 'rangefinder', 'features')",2,1,0
431,"('vibration', 'technology')",2,0,1
1520,"('slope', 'switch', 'technology')",2,0,1
1565,"('excessive', 'shaking')",2,0,1
488,"('vpro', 'rangefinder', 'rangefinder')",2,0,1
1203,"('slope', 'version')",2,1,0
764,"('range', 'finders', 'features')",2,0,3
486,"('vpro', 'rangefinder', 'golf')",2,2,0
359,"('slope', 'golf')",2,0,2
360,"('best', 'golf', 'laser')",2,2,0
1557,"('weather', 'conditions')",2,2,0
1473,"('best', 'features')",2,2,0
363,"('rangefindera', 'rangefinder')",2,2,0
1209,"('focus', 'system')",2,1,0
1114,"('technologyusga', 'approvededitor', 'rating')",2,1,1
1517,"('shopping', 'rangefinder')",2,0,1
484,"('vpro', 'rangefinder', 'best')",2,1,1
1213,"('this', 'rangefinder')",2,1,1
407,"('measurements', 'convenient')",2,0,1
1219,"('distances', 'anything')",2,1,1
481,"('easy', 'read')",2,1,1
1221,"('anything', 'yards')",2,1,0
745,"('options', 'choose')",2,2,1
742,"('these', 'range', 'finders')",2,2,1
1229,"('volt', 'battery')",2,0,1
1279,"('magnification', 'fast')",2,1,1
1239,"('pinseeker', 'technology')",2,1,0
401,"('always', 'confident')",2,0,29
1201,"('technology', 'slope')",2,1,1
490,"('vpro', 'best', 'golf')",2,1,1
1567,"('shaking', 'hands')",2,1,1
324,"('bushnell', 'tour', 'jolt')",2,1,0
298,"('rangefinder', 'bushnell', 'tour')",2,1,1
429,"('pulse', 'vibration')",2,1,0
495,"('what', 'makes')",2,1,0
494,"('vpro', 'golf', 'rangefinder')",2,0,1
1167,"('best', 'market')",2,1,0
303,"('value', 'game')",2,1,0
309,"('reliable', 'accurate')",2,1,0
493,"('specifications', 'what')",2,1,1
492,"('vpro', 'best', 'rangefinder')",2,2,0
316,"('rating', 'bushnell', 'best')",2,5,1
785,"('measurements', 'yards')",2,0,2
328,"('bushnell', 'tour', 'golf')",2,1,1
416,"('rating', 'best', 'golf')",2,0,1
1483,"('switch', 'tech')",2,1,1
1581,"('uses', 'stable')",2,4,0
332,"('bushnell', 'jolt', 'golf')",2,0,1
334,"('bushnell', 'best', 'golf')",2,1,1
1193,"('technology', 'make')",2,0,1
1474,"('picsbushnell', 'xmax', 'yards')",2,1,1
419,"('legal', 'tournaments')",2,0,3
1574,"('jolt', 'dual', 'display')",2,0,1
342,"('tour', 'best', 'golf')",2,1,0
345,"('every', 'golfer')",2,2,0
1570,"('jolt', 'technology', 'display')",2,1,1
451,"('golfers', 'love')",2,1,1
1165,"('rangefinders', 'best')",2,1,1
595,"('long', 'enough')",2,1,1
1786,"('what', 'golf', 'golf')",2,1,1
1050,"('yards', 'yards', 'magnification')",2,1,0
930,"('technology', 'water', 'approvededitor')",2,1,0
1048,"('yards', 'yards', 'flagx')",2,1,1
1788,"('what', 'rangefinder', 'golf')",2,1,0
157,"('reviews', 'picsbushnell')",2,1,1
1704,"('should', 'shouldn', 'rangefinder')",2,1,0
1818,"('rangefinder', 'help', 'golf')",2,1,0
933,"('distance', 'target')",2,1,0
53,"('rating', 'bushnell')",2,0,1
1046,"('range', 'flagx', 'magnification')",2,0,2
1052,"('yards', 'yards', 'pinseeker')",2,0,3
99,"('professional', 'player')",2,1,0
965,"('compact', 'lightweight')",2,0,24
57,"('tour', 'jolt')",2,1,0
169,"('yards', 'flagx')",2,1,1
988,"('price', 'reviews', 'picsbushnell')",2,1,1
171,"('flagx', 'magnification')",2,1,0
1820,"('rangefinder', 'help', 'rangefinder')",2,0,1
884,"('yardx', 'magnification', 'technology')",2,0,2
938,"('technology', 'approvededitor', 'rating')",2,0,2
968,"('approvededitor', 'rating', 'picsbushnell')",2,0,21
1708,"('should', 'golf', 'rangefinder')",2,1,1
1754,"('some', 'famous', 'golf')",2,0,1
1065,"('lightweight', 'compact')",2,1,0
1803,"('easy', 'handle')",2,1,0
1804,"('rangefinder', 'rangefinder', 'help')",2,2,1
974,"('approvededitor', 'reviews', 'picsbushnell')",2,0,3
978,"('rating', 'price', 'picsbushnell')",2,1,0
133,"('yard', 'range')",2,1,1
27,"('high', 'handicappers')",2,1,0
1808,"('rangefinder', 'help', 'which')",2,0,1
981,"('lightest', 'market')",2,1,0
982,"('rating', 'reviews', 'picsbushnell')",2,1,1
972,"('approvededitor', 'price', 'picsbushnell')",2,1,0
1078,"('magnification', 'pinseeker', 'jolt')",2,1,1
1814,"('golf', 'help', 'golf')",2,0,1
137,"('yardx', 'magnification')",2,0,1
1032,"('joltmax', 'range', 'yards')",2,1,0
902,"('magnification', 'technology', 'water')",2,0,2
1059,"('many', 'years')",2,1,0
1058,"('yards', 'magnification', 'pinseeker')",2,0,1
39,"('choose', 'best')",2,1,0
145,"('technology', 'water')",2,1,1
1056,"('yards', 'flagx', 'pinseeker')",2,1,0
173,"('magnification', 'pinseeker')",2,0,1
1801,"('rangefinder', 'easy')",2,2,1
1684,"('rangefinder', 'reviews', 'golf')",2,1,1
77,"('vpro', 'rangefinder')",2,0,1
1829,"('priority', 'mode')",2,0,1
193,"('pinsensor', 'technology')",2,3,1
868,"('range', 'yardx', 'magnification')",2,1,1
1827,"('features', 'include')",2,1,0
1779,"('rangefinder', 'accurate')",2,1,0
946,"('water', 'approvededitor', 'rating')",2,1,1
1026,"('tour', 'joltmax', 'yards')",2,1,0
8,"('rangefinder', 'golf', 'watchgolf')",2,0,1
1003,"('around', 'course')",2,1,1
87,"('this', 'list')",2,1,0
1004,"('reviews', 'picsbushnell', 'range')",2,0,4
1038,"('joltmax', 'yards', 'flagx')",2,1,0
195,"('water', 'resistant')",2,1,0
1774,"('brands', 'what', 'golf')",2,1,1
1028,"('tour', 'range', 'yards')",2,0,4
991,"('compact', 'design')",2,1,1
997,"('makes', 'easy')",2,1,1
1001,"('carry', 'around')",2,0,9
179,"('technologyusga', 'approvededitor')",2,0,1
81,"('rangefinder', 'money')",2,1,0
1040,"('range', 'yards', 'yards')",2,0,2
69,"('bushnell', 'best')",2,1,0
1286,"('bodyusga', 'approvededitor', 'rating')",1,0,1
1256,"('technology', 'water', 'bodyusga')",1,0,1
1281,"('focus', 'magnification')",1,1,0
1250,"('pinsensor', 'water', 'bodyusga')",1,0,1
1282,"('resistant', 'approvededitor', 'price')",1,1,1
1283,"('magnification', 'might')",1,0,1
1284,"('resistant', 'rating', 'price')",1,1,0
1285,"('seem', 'like')",1,1,1
1290,"('bodyusga', 'approvededitor', 'reviews')",1,1,0
1254,"('technology', 'water', 'resistant')",1,1,0
1287,"('like', 'much')",1,1,0
1031,"('designed', 'cushion')",1,0,4
1252,"('pinsensor', 'resistant', 'bodyusga')",1,1,1
1253,"('also', 'jolt')",1,0,2
1289,"('much', 'works')",1,0,1
1255,"('jolt', 'produce')",1,1,1
1280,"('resistant', 'approvededitor', 'rating')",1,0,1
1030,"('tour', 'yards', 'yards')",1,1,1
1029,"('casing', 'designed')",1,1,0
1288,"('bodyusga', 'approvededitor', 'price')",1,1,1
1016,"('picsbushnell', 'tour', 'yards')",1,0,6
1265,"('locks', 'range')",1,0,1
1276,"('resistant', 'bodyusga', 'rating')",1,1,1
1278,"('resistant', 'bodyusga', 'price')",1,1,0
1270,"('water', 'bodyusga', 'approvededitor')",1,1,1
1266,"('water', 'resistant', 'approvededitor')",1,1,0
1021,"('tough', 'material')",1,1,1
1264,"('water', 'resistant', 'bodyusga')",1,1,1
1020,"('picsbushnell', 'joltmax', 'yards')",1,1,0
1023,"('material', 'also')",1,1,0
1019,"('made', 'tough')",1,0,8
1263,"('rangefinder', 'locks')",1,1,0
1024,"('tour', 'joltmax', 'range')",1,1,1
1262,"('technology', 'bodyusga', 'approvededitor')",1,0,1
1291,"('works', 'fast')",1,1,1
1268,"('water', 'resistant', 'rating')",1,0,1
1269,"('measure', 'distances')",1,1,0
1025,"('also', 'padded')",1,0,5
1257,"('produce', 'vibration')",1,1,0
1261,"('bursts', 'rangefinder')",1,2,1
1260,"('technology', 'resistant', 'approvededitor')",1,1,0
1259,"('vibration', 'bursts')",1,0,1
1018,"('picsbushnell', 'joltmax', 'range')",1,1,1
1272,"('water', 'bodyusga', 'rating')",1,1,0
1273,"('flag', 'maintaining')",1,1,1
1258,"('technology', 'resistant', 'bodyusga')",1,1,1
1017,"('light', 'made')",1,1,0
1027,"('padded', 'casing')",1,1,1
1274,"('resistant', 'bodyusga', 'approvededitor')",1,0,1
1275,"('maintaining', 'accuracy')",1,1,0
1277,"('yard', 'times')",1,0,1
1267,"('range', 'measure')",1,1,1
1294,"('bodyusga', 'rating', 'reviews')",1,1,1
1015,"('although', 'light')",1,1,1
1339,"('extras', 'also')",1,1,1
1345,"('carry', 'case')",1,1,1
1344,"('picsnikon', 'yards', 'magnification')",1,1,0
1343,"('premium', 'carry')",1,0,1
1342,"('picsnikon', 'range', 'magnification')",1,1,1
1341,"('also', 'premium')",1,1,0
1005,"('course', 'also')",1,1,0
1340,"('picsnikon', 'range', 'yards')",1,0,1
1006,"('reviews', 'tour', 'joltmax')",1,1,1
1338,"('picsnikon', 'coolshot', 'magnification')",1,1,0
1347,"('case', 'transporting')",1,3,0
1337,"('device', 'extras')",1,0,1
1336,"('picsnikon', 'coolshot', 'yards')",1,1,1
1335,"('continued', 'device')",1,1,0
1334,"('picsnikon', 'coolshot', 'range')",1,0,1
1333,"('convenience', 'continued')",1,1,1
1332,"('reviews', 'coolshot', 'yards')",1,1,0
1331,"('ensure', 'convenience')",1,0,1
1330,"('reviews', 'coolshot', 'range')",1,1,1
1346,"('coolshot', 'range', 'yards')",1,0,1
1348,"('coolshot', 'range', 'magnification')",1,1,1
1014,"('picsbushnell', 'tour', 'range')",1,1,0
1360,"('range', 'yards', 'target')",1,1,1
1368,"('yards', 'magnification', 'first')",1,1,0
1367,"('design', 'make')",1,0,1
1366,"('range', 'first', 'target')",1,1,1
1365,"('design', 'lightweight')",1,1,0
1364,"('range', 'magnification', 'target')",1,0,1
1363,"('ergonomic', 'design')",1,1,1
1362,"('range', 'magnification', 'first')",1,1,0
1361,"('prosthe', 'ergonomic')",1,0,1
1359,"('warranty', 'prosthe')",1,1,0
1349,"('transporting', 'rangefinder')",1,0,1
1358,"('range', 'yards', 'first')",1,0,1
1357,"('year', 'warranty')",1,1,1
1356,"('coolshot', 'magnification', 'first')",1,4,0
1355,"('impressive', 'year')",1,0,1
1354,"('coolshot', 'yards', 'first')",1,1,1
1352,"('coolshot', 'yards', 'magnification')",1,0,1
1002,"('reviews', 'picsbushnell', 'joltmax')",1,1,0
1350,"('coolshot', 'range', 'first')",1,1,0
1329,"('rechargeable', 'ensure')",1,1,0
1328,"('reviews', 'picsnikon', 'yards')",1,0,1
1327,"('battery', 'rechargeable')",1,1,1
1298,"('approvededitor', 'rating', 'picsnikon')",1,0,1
1305,"('clearly', 'slope')",1,1,0
1304,"('rating', 'price', 'picsnikon')",1,0,1
1303,"('target', 'clearly')",1,1,1
1302,"('approvededitor', 'reviews', 'picsnikon')",1,2,0
1301,"('quickly', 'target')",1,0,1
1009,"('storing', 'sturdy')",1,1,1
1300,"('approvededitor', 'price', 'picsnikon')",1,1,1
1299,"('target', 'quickly')",1,1,0
1297,"('ensure', 'target')",1,1,1
1326,"('reviews', 'picsnikon', 'range')",1,2,0
1296,"('bodyusga', 'price', 'reviews')",1,1,0
1295,"('feature', 'ensure')",1,0,1
1293,"('focus', 'feature')",1,1,0
1292,"('bodyusga', 'rating', 'price')",1,0,1
1010,"('reviews', 'joltmax', 'range')",1,0,11
1011,"('sturdy', 'durable')",1,1,0
1012,"('picsbushnell', 'tour', 'joltmax')",1,1,1
1013,"('durable', 'although')",1,0,9
1306,"('rating', 'price', 'coolshot')",1,1,1
1307,"('version', 'distances')",1,0,1
1308,"('rating', 'reviews', 'picsnikon')",1,1,0
1008,"('reviews', 'tour', 'range')",1,1,0
1325,"('comes', 'volt')",1,0,1
1324,"('reviews', 'picsnikon', 'coolshot')",1,1,1
1323,"('battery', 'comes')",1,1,0
1322,"('price', 'coolshot', 'range')",1,0,1
1321,"('elevation', 'battery')",1,1,1
1320,"('price', 'picsnikon', 'range')",1,1,0
1319,"('compensate', 'elevation')",1,0,1
1318,"('price', 'picsnikon', 'coolshot')",1,1,1
1317,"('technology', 'compensate')",1,1,0
1316,"('price', 'reviews', 'coolshot')",1,0,1
1315,"('uses', 'slope')",1,1,1
1314,"('price', 'reviews', 'picsnikon')",1,1,0
1313,"('accurate', 'uses')",1,0,1
1312,"('rating', 'picsnikon', 'coolshot')",1,1,1
1311,"('device', 'accurate')",1,1,0
1310,"('rating', 'reviews', 'coolshot')",1,0,1
1007,"('also', 'storing')",1,0,11
1249,"('seeing', 'device')",1,1,1
1113,"('vpro', 'easy')",1,2,0
1248,"('pinsensor', 'water', 'resistant')",1,1,0
1247,"('without', 'seeing')",1,0,1
1081,"('shut', 'operation')",1,1,1
1152,"('price', 'rangefindermax', 'range')",1,1,0
1151,"('therefore', 'inclement')",1,0,1
1150,"('price', 'picsvpro', 'range')",1,1,1
1082,"('magnification', 'pinseeker', 'approvededitor')",1,0,1
1083,"('operation', 'single')",1,1,0
1149,"('downside', 'therefore')",1,1,0
1148,"('price', 'picsvpro', 'rangefindermax')",1,0,2
1084,"('magnification', 'jolt', 'technologyusga')",1,1,1
1085,"('single', 'button')",1,0,1
1147,"('coating', 'downside')",1,1,1
1086,"('magnification', 'jolt', 'approvededitor')",1,1,0
1087,"('button', 'adjustable')",1,1,1
1088,"('magnification', 'technologyusga', 'approvededitor')",1,0,1
1089,"('adjustable', 'control')",1,1,0
1145,"('resistant', 'coating')",1,0,4
1144,"('price', 'reviews', 'rangefindermax')",1,1,1
1143,"('lack', 'water')",1,1,0
1142,"('price', 'reviews', 'picsvpro')",1,0,4
1080,"('magnification', 'pinseeker', 'technologyusga')",1,1,0
1154,"('reviews', 'picsvpro', 'rangefindermax')",1,0,1
1155,"('weather', 'bushnell')",1,1,0
1166,"('picsvpro', 'rangefindermax', 'range')",1,0,1
1173,"('golfers', 'across')",1,1,0
1172,"('picsvpro', 'range', 'yards')",1,0,1
1171,"('thousands', 'golfers')",1,1,1
1170,"('picsvpro', 'rangefindermax', 'yardx')",1,1,0
1169,"('market', 'thousands')",1,0,1
1168,"('picsvpro', 'rangefindermax', 'yards')",1,1,1
1074,"('flagx', 'pinseeker', 'technologyusga')",1,1,0
1075,"('measurement', 'readouts')",1,1,1
1076,"('flagx', 'jolt', 'technologyusga')",1,0,1
1079,"('auto', 'shut')",1,0,4
1077,"('readouts', 'auto')",1,1,0
1162,"('reviews', 'rangefindermax', 'yards')",1,1,1
1161,"('rangefinderbushnell', 'golf')",1,1,0
1160,"('reviews', 'rangefindermax', 'range')",1,0,1
1159,"('golf', 'rangefinderbushnell')",1,1,1
1158,"('reviews', 'picsvpro', 'yards')",1,1,0
1157,"('jolt', 'golf')",1,0,1
1156,"('reviews', 'picsvpro', 'range')",1,1,1
1090,"('pinseeker', 'jolt', 'technologyusga')",1,1,1
1091,"('control', 'with')",1,0,1
1141,"('vpro', 'lack')",1,1,1
1106,"('jolt', 'technologyusga', 'price')",1,0,1
1130,"('approvededitor', 'reviews', 'picsvpro')",1,0,3
1129,"('suspend', 'shoulders')",1,1,1
1105,"('precision', 'resistant')",1,1,1
1128,"('approvededitor', 'price', 'picsvpro')",1,1,0
1127,"('attach', 'suspend')",1,0,1
1126,"('approvededitor', 'rating', 'picsvpro')",1,1,1
1125,"('straps', 'attach')",1,1,0
1123,"('transport', 'straps')",1,1,1
1121,"('storage', 'transport')",1,0,2
1103,"('pinpoint', 'precision')",1,0,2
1107,"('resistant', 'dust')",1,1,0
1108,"('jolt', 'approvededitor', 'rating')",1,1,1
1119,"('easier', 'storage')",1,1,0
1109,"('dust', 'water')",1,0,3
1110,"('jolt', 'approvededitor', 'price')",1,1,0
1117,"('well', 'easier')",1,2,1
1111,"('water', 'vpro')",1,1,1
1115,"('around', 'well')",1,0,1
1104,"('jolt', 'technologyusga', 'rating')",1,1,0
1102,"('jolt', 'technologyusga', 'approvededitor')",1,1,1
1140,"('rating', 'picsvpro', 'rangefindermax')",1,1,0
1097,"('device', 'perfect')",1,0,1
1092,"('pinseeker', 'jolt', 'approvededitor')",1,1,0
1093,"('with', 'pinsensor')",1,1,1
1139,"('consthe', 'vpro')",1,0,3
1138,"('rating', 'reviews', 'rangefindermax')",1,1,1
1094,"('pinseeker', 'jolt', 'rating')",1,0,1
1095,"('technology', 'device')",1,1,0
1096,"('pinseeker', 'technologyusga', 'approvededitor')",1,1,1
1137,"('activities', 'consthe')",1,1,0
1136,"('rating', 'reviews', 'picsvpro')",1,0,3
1131,"('shoulders', 'effortlessly')",1,1,0
1098,"('pinseeker', 'technologyusga', 'rating')",1,1,0
1135,"('tournaments', 'activities')",1,1,1
1134,"('rating', 'price', 'rangefindermax')",1,1,0
1099,"('perfect', 'flag')",1,1,1
1133,"('effortlessly', 'tournaments')",1,0,3
1132,"('rating', 'price', 'picsvpro')",1,1,1
1100,"('pinseeker', 'approvededitor', 'rating')",1,0,1
1101,"('flag', 'pinpoint')",1,1,0
1174,"('picsvpro', 'range', 'yardx')",1,1,1
1175,"('across', 'world')",1,0,1
1073,"('prompt', 'measurement')",1,0,1
1218,"('yardx', 'pinsensor', 'technology')",1,1,0
1227,"('rechargeable', 'volt')",1,1,0
1226,"('magnification', 'pinsensor', 'technology')",1,0,1
1225,"('uses', 'rechargeable')",1,1,1
1224,"('magnification', 'advanced', 'water')",1,1,0
1223,"('yards', 'uses')",1,0,2
1041,"('also', 'prevent')",1,1,0
1222,"('magnification', 'advanced', 'technology')",1,2,1
1220,"('magnification', 'advanced', 'pinsensor')",1,0,2
1043,"('prevent', 'accumulation')",1,0,1
1039,"('surface', 'also')",1,1,1
1217,"('give', 'distances')",1,0,1
1216,"('yardx', 'advanced', 'technology')",1,1,1
1215,"('rangefinder', 'give')",1,1,0
1214,"('yardx', 'advanced', 'pinsensor')",1,0,1
1045,"('accumulation', 'foreign')",1,1,1
1212,"('yardx', 'magnification', 'pinsensor')",1,1,0
1211,"('system', 'this')",1,0,2
1210,"('yardx', 'magnification', 'advanced')",1,1,1
1228,"('magnification', 'pinsensor', 'water')",1,1,1
1230,"('advanced', 'pinsensor', 'technology')",1,1,0
1047,"('foreign', 'particles')",1,1,0
1035,"('impacts', 'gloss')",1,1,0
1246,"('pinsensor', 'technology', 'bodyusga')",1,1,1
1245,"('even', 'without')",1,1,0
1244,"('pinsensor', 'technology', 'resistant')",1,0,1
1243,"('flag', 'even')",1,1,1
1242,"('pinsensor', 'technology', 'water')",1,1,0
1033,"('cushion', 'impacts')",1,1,1
1034,"('joltmax', 'range', 'flagx')",1,0,4
1241,"('technology', 'locate')",1,0,1
1240,"('advanced', 'water', 'resistant')",1,1,1
1231,"('battery', 'amazon')",1,1,1
1036,"('joltmax', 'yards', 'yards')",1,1,1
1037,"('gloss', 'surface')",1,0,4
1112,"('jolt', 'rating', 'price')",1,0,2
1237,"('tech', 'pinseeker')",1,1,1
1236,"('advanced', 'technology', 'water')",1,1,0
1234,"('advanced', 'pinsensor', 'resistant')",1,1,1
1233,"('specifications', 'pinseeker')",1,1,0
1232,"('advanced', 'pinsensor', 'water')",1,0,1
1208,"('yards', 'advanced', 'pinsensor')",1,0,1
1049,"('particles', 'dust')",1,0,2
1176,"('picsvpro', 'yards', 'yardx')",1,1,0
1184,"('rangefindermax', 'yards', 'yardx')",1,0,1
1067,"('compact', 'vpro')",1,0,1
1068,"('flagx', 'magnification', 'jolt')",1,1,0
1069,"('vpro', 'provides')",1,1,1
1188,"('rangefindermax', 'yardx', 'magnification')",1,1,0
1187,"('helps', 'locate')",1,0,1
1186,"('rangefindermax', 'yards', 'magnification')",1,1,1
1070,"('flagx', 'magnification', 'technologyusga')",1,0,2
1185,"('pinseeker', 'helps')",1,1,0
1183,"('comes', 'pinseeker')",1,1,1
1066,"('flagx', 'magnification', 'pinseeker')",1,1,1
1182,"('rangefindermax', 'range', 'magnification')",1,1,0
1181,"('tour', 'comes')",1,0,1
1180,"('rangefindermax', 'range', 'yardx')",1,1,1
1071,"('provides', 'prompt')",1,1,0
1179,"('trust', 'tour')",1,1,0
1178,"('rangefindermax', 'range', 'yards')",1,0,1
1072,"('flagx', 'pinseeker', 'jolt')",1,1,1
1177,"('world', 'trust')",1,2,1
1190,"('range', 'yards', 'yardx')",1,0,1
1191,"('flag', 'jolt')",1,1,0
1051,"('dust', 'hence')",1,1,1
1199,"('locked', 'also')",1,0,1
1206,"('yards', 'magnification', 'pinsensor')",1,1,0
1205,"('version', 'fast')",1,0,1
1204,"('yards', 'magnification', 'advanced')",1,1,1
1053,"('hence', 'ensuring')",1,1,0
1202,"('yards', 'yardx', 'pinsensor')",1,0,1
1055,"('ensuring', 'serves')",1,0,1
1057,"('serves', 'many')",1,1,1
